NAME: r101
VEHICLES: 25
CAPACITY: 200
CUSTNO XCOORD YCOORD DEMAND
0 35.0 35.0 0
1 41.0 49.0 10
2 35.0 17.0 7
3 55.0 45.0 13
4 55.0 20.0 19
5 15.0 30.0 26
6 25.0 30.0 3
7 20.0 50.0 5
8 10.0 43.0 9
9 55.0 60.0 16
10 30.0 60.0 16
11 20.0 65.0 12
12 50.0 35.0 19
13 30.0 25.0 23
14 15.0 10.0 20
15 30.0 5.0 8
16 10.0 20.0 19
17 5.0 30.0 2
18 20.0 40.0 12
19 15.0 60.0 17
20 45.0 65.0 9
21 45.0 20.0 11
22 45.0 10.0 18
23 55.0 5.0 29
24 65.0 35.0 3
25 65.0 20.0 6
26 45.0 30.0 17
27 35.0 40.0 16
28 41.0 37.0 16
29 64.0 42.0 9
30 40.0 60.0 21
31 31.0 52.0 27
32 35.0 69.0 23
33 53.0 52.0 11
34 65.0 55.0 14
35 63.0 65.0 8
36 2.0 60.0 5
37 20.0 20.0 8
38 5.0 5.0 16
39 60.0 12.0 31
40 40.0 25.0 9
41 42.0 7.0 5
42 24.0 12.0 5
43 23.0 3.0 7
44 11.0 14.0 18
45 6.0 38.0 16
46 2.0 48.0 1
47 8.0 56.0 27
48 13.0 52.0 36
49 6.0 68.0 30
50 47.0 47.0 13
