NAME: c101
VEHICLES: 25
CAPACITY: 200
CUSTNO XCOORD YCOORD DEMAND
0 40.0 50.0 0
1 45.0 68.0 10
2 45.0 70.0 30
3 42.0 66.0 10
4 42.0 68.0 10
5 42.0 65.0 10
6 40.0 69.0 20
7 40.0 66.0 20
8 38.0 68.0 20
9 38.0 70.0 10
10 35.0 66.0 10
11 35.0 69.0 10
12 25.0 85.0 20
13 22.0 75.0 30
14 22.0 85.0 10
15 20.0 80.0 40
16 20.0 85.0 40
17 18.0 75.0 20
18 15.0 75.0 20
19 15.0 80.0 10
20 30.0 50.0 10
21 30.0 52.0 20
22 28.0 52.0 20
23 28.0 55.0 10
24 25.0 50.0 10
25 25.0 52.0 40
26 25.0 55.0 10
27 23.0 52.0 10
28 23.0 55.0 20
29 20.0 50.0 10
30 20.0 55.0 10
31 10.0 35.0 20
32 10.0 40.0 30
33 8.0 40.0 40
34 8.0 45.0 20
35 5.0 35.0 10
36 5.0 45.0 10
37 2.0 40.0 20
38 0.0 40.0 30
39 0.0 45.0 20
40 35.0 30.0 10
41 35.0 32.0 10
42 33.0 32.0 20
43 33.0 35.0 10
44 32.0 30.0 10
45 30.0 30.0 10
46 30.0 32.0 30
47 30.0 35.0 10
48 28.0 30.0 10
49 28.0 35.0 10
50 26.0 32.0 10
51 25.0 30.0 10
52 25.0 35.0 10
53 44.0 5.0 20
54 42.0 10.0 40
55 42.0 15.0 10
56 40.0 5.0 30
57 40.0 15.0 40
58 38.0 5.0 30
59 38.0 15.0 10
60 35.0 5.0 20
61 50.0 30.0 10
62 50.0 35.0 20
63 50.0 40.0 50
64 48.0 30.0 10
65 48.0 40.0 10
66 47.0 35.0 10
67 47.0 40.0 10
68 45.0 30.0 10
69 45.0 35.0 10
70 95.0 30.0 30
71 95.0 35.0 20
72 53.0 30.0 10
73 92.0 30.0 10
74 53.0 35.0 50
75 45.0 65.0 20
76 90.0 35.0 10
77 88.0 30.0 10
78 88.0 35.0 20
79 87.0 30.0 10
80 85.0 25.0 10
81 85.0 35.0 30
82 75.0 55.0 20
83 72.0 55.0 10
84 70.0 58.0 20
85 68.0 60.0 30
86 66.0 55.0 10
87 65.0 55.0 20
88 65.0 60.0 30
89 63.0 58.0 10
90 60.0 55.0 10
91 60.0 60.0 10
92 67.0 85.0 20
93 65.0 85.0 40
94 65.0 82.0 10
95 62.0 80.0 30
96 60.0 80.0 10
97 60.0 85.0 30
98 58.0 75.0 20
99 55.0 80.0 10
100 55.0 85.0 20
