NAME: rc201
VEHICLES: 25
CAPACITY: 1000
CUSTNO XCOORD YCOORD DEMAND
0 40.0 50.0 0
1 25.0 85.0 20
2 22.0 75.0 30
3 22.0 85.0 10
4 20.0 80.0 40
5 20.0 85.0 20
6 18.0 75.0 20
7 15.0 75.0 20
8 15.0 80.0 10
9 10.0 35.0 20
10 10.0 40.0 30
11 8.0 40.0 40
12 8.0 45.0 20
13 5.0 35.0 10
14 5.0 45.0 10
15 2.0 40.0 20
16 0.0 40.0 20
17 0.0 45.0 20
18 44.0 5.0 20
19 42.0 10.0 40
20 42.0 15.0 10
21 40.0 5.0 10
22 40.0 15.0 40
23 38.0 5.0 30
24 38.0 15.0 10
25 35.0 5.0 20
26 95.0 30.0 30
27 95.0 35.0 20
28 92.0 30.0 10
29 90.0 35.0 10
30 88.0 30.0 10
31 88.0 35.0 20
32 87.0 30.0 10
33 85.0 25.0 10
34 85.0 35.0 30
35 67.0 85.0 20
36 65.0 85.0 40
37 65.0 82.0 10
38 62.0 80.0 30
39 60.0 80.0 10
40 60.0 85.0 30
41 58.0 75.0 20
42 55.0 80.0 10
43 55.0 85.0 20
44 55.0 82.0 10
45 20.0 82.0 10
46 18.0 80.0 10
47 2.0 45.0 10
48 42.0 5.0 10
49 42.0 12.0 10
50 72.0 35.0 30
51 55.0 20.0 19
52 25.0 30.0 3
53 20.0 50.0 5
54 55.0 60.0 16
55 30.0 60.0 16
56 50.0 35.0 19
57 30.0 25.0 23
58 15.0 10.0 20
59 10.0 20.0 19
60 15.0 60.0 17
61 45.0 65.0 9
62 65.0 35.0 3
63 65.0 20.0 6
64 45.0 30.0 17
65 35.0 40.0 16
66 41.0 37.0 16
67 64.0 42.0 9
68 40.0 60.0 21
69 31.0 52.0 27
70 35.0 69.0 23
71 65.0 55.0 14
72 63.0 65.0 8
73 2.0 60.0 5
74 20.0 20.0 8
75 5.0 5.0 16
76 60.0 12.0 31
77 23.0 3.0 7
78 8.0 56.0 27
79 6.0 68.0 30
80 47.0 47.0 13
81 49.0 58.0 10
82 27.0 43.0 9
83 37.0 31.0 14
84 57.0 29.0 18
85 63.0 23.0 2
86 21.0 24.0 28
87 12.0 24.0 13
88 24.0 58.0 19
89 67.0 5.0 25
90 37.0 47.0 6
91 49.0 42.0 13
92 53.0 43.0 14
93 61.0 52.0 3
94 57.0 48.0 23
95 56.0 37.0 6
96 55.0 54.0 26
97 4.0 18.0 35
98 26.0 52.0 9
99 26.0 35.0 15
100 31.0 67.0 3
